plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd hash MB isEngine nROCs power mrot phi HDorLD hash_hdld
1 10 5 dOe 1255.800 725.000 0 5 1255.800 628.400 1297.700 652.500 1213.900 797.500 1172.100 773.400 1172.100 676.700 1255.800 628.400 0.000 0.000 0 0 0.717 1.000 0.358 1.000 0.358 1.000 110050 8 False 2 2.400 0 29.999 0 110050
1 10 6 bOe 1172.100 870.000 1 5 1255.800 821.700 1172.100 966.700 1088.400 918.400 1088.400 821.700 1172.100 773.400 1255.800 821.700 0.000 0.000 0 0 1.204 2.000 0.447 1.000 0.447 1.000 110060 8 False 3 3.600 1 36.585 0 110060
1 10 7 aOe 1088.400 1015.100 1 4 1172.100 966.700 1004.600 1063.400 1004.600 966.700 1088.400 918.400 1172.100 966.700 0.000 0.000 0.000 0.000 0 0 0.798 1.000 0.317 1.000 0.317 1.000 110070 9 False 3 3.600 1 43.004 0 110070
1 10 8 cOe 1004.600 1160.100 0 3 1004.600 1063.400 920.900 1208.400 920.900 1111.700 1004.600 1063.400 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0.000 0.120 0.000 0.120 0.000 110080 10 False 3 3.600 0 49.109 0 110080
2 8 7 FO 753.500 1015.100 4 6 669.700 1063.400 669.800 966.700 753.500 918.400 837.200 966.700 837.200 1063.400 753.500 1111.700 669.700 1063.400 0 0 0.000 2.000 0.648 1.000 0.644 1.000 208070 10 False 3 3.600 4 53.414 0 208070
2 7 6 FM 669.800 870.000 4 6 586.000 918.400 586.000 821.700 669.700 773.400 753.500 821.700 753.500 918.400 669.800 966.700 586.000 918.400 0 0 0.000 2.000 0.826 1.000 0.804 1.000 207060 10 True 3 3.600 4 52.408 0 207060
2 6 5 FM 586.000 725.000 4 6 502.300 773.400 502.300 676.700 586.000 628.400 669.800 676.700 669.700 773.400 586.000 821.700 502.300 773.400 0 0 0.000 2.000 1.030 1.000 1.009 1.000 206050 10 False 3 3.600 4 51.052 0 206050
2 5 4 FM 502.300 580.000 4 6 418.600 628.400 418.600 531.700 502.300 483.400 586.100 531.700 586.000 628.400 502.300 676.700 418.600 628.400 0 0 0.000 2.000 1.403 2.000 1.401 2.000 205040 10 False 3 3.600 4 49.106 0 205040
2 4 3 FI 418.600 435.000 1 6 334.800 483.300 334.900 386.700 418.600 338.400 502.300 386.600 502.300 483.400 418.600 531.700 334.800 483.300 0 0 0.000 2.000 2.323 2.000 2.455 2.000 204030 11 True 6 7.200 4 46.101 1 204031
2 3 2 FI 334.900 290.000 1 6 251.100 338.400 251.200 241.700 334.900 193.400 418.600 241.700 418.600 338.400 334.900 386.700 251.100 338.400 0 0 0.000 2.000 3.335 3.000 3.980 4.000 203020 11 False 6 7.200 4 40.890 1 203021
2 8 6 FM 837.200 870.000 4 6 753.500 918.400 753.500 821.700 837.300 773.400 920.900 821.700 921.000 918.400 837.200 966.700 753.500 918.400 0 0 0.000 2.000 0.700 1.000 0.692 1.000 208060 9 True 3 3.600 4 46.101 0 208060
2 7 5 FM 753.500 725.000 4 6 669.700 773.400 669.800 676.700 753.500 628.300 837.200 676.700 837.300 773.400 753.500 821.700 669.700 773.400 0 0 0.000 2.000 0.876 1.000 0.851 1.000 207050 9 False 3 3.600 4 43.896 0 207050
2 6 4 FM 669.800 580.000 4 6 586.000 628.400 586.100 531.700 669.800 483.400 753.500 531.700 753.500 628.300 669.800 676.700 586.000 628.400 0 0 0.000 2.000 1.125 1.000 1.104 1.000 206040 9 False 3 3.600 4 40.890 0 206040
2 5 3 FI 586.000 435.000 1 6 502.300 483.400 502.300 386.600 586.100 338.300 669.800 386.700 669.800 483.400 586.100 531.700 502.300 483.400 0 0 0.000 2.000 1.809 2.000 1.859 2.000 205030 4 True 6 7.200 4 36.587 1 205031
2 4 2 FI 502.300 290.000 1 6 418.600 338.400 418.600 241.700 502.400 193.300 586.000 241.700 586.100 338.300 502.300 386.600 418.600 338.400 0 0 0.000 2.000 2.454 2.000 2.623 3.000 204020 4 False 6 7.200 4 30.000 1 204021
2 3 1 FI 418.600 145.000 0 6 334.900 193.400 334.900 96.700 418.700 48.300 502.300 96.700 502.400 193.300 418.600 241.700 334.900 193.400 0 0 0.000 2.000 3.337 3.000 3.987 4.000 203010 3 False 6 7.200 3 19.106 1 203011
2 8 5 FM 920.900 725.000 4 6 837.300 773.400 837.200 676.700 920.900 628.300 1004.700 676.700 1004.700 773.400 920.900 821.700 837.300 773.400 0 0 0.000 2.000 0.759 1.000 0.744 1.000 208050 8 True 3 3.600 4 38.212 0 208050
2 7 4 FM 837.200 580.000 4 6 753.500 628.300 753.500 531.700 837.200 483.300 920.900 531.700 920.900 628.300 837.200 676.700 753.500 628.300 0 0 0.000 2.000 0.907 1.000 0.881 1.000 207040 8 False 3 3.600 4 34.714 0 207040
2 6 3 FM 753.500 435.000 4 6 669.800 483.400 669.800 386.700 753.500 338.400 837.200 386.700 837.200 483.300 753.500 531.700 669.800 483.400 0 0 0.000 2.000 1.168 1.000 1.144 1.000 206030 8 False 3 3.600 4 29.998 0 206030
2 5 2 FI 669.800 290.000 0 6 586.100 338.300 586.000 241.700 669.800 193.300 753.500 241.600 753.500 338.400 669.800 386.700 586.100 338.300 0 0 0.000 2.000 1.813 2.000 1.865 2.000 205020 4 False 6 7.200 3 23.411 1 205021
2 4 1 FI 586.000 145.000 0 6 502.400 193.300 502.300 96.700 586.100 48.300 669.800 96.700 669.800 193.300 586.000 241.700 502.400 193.300 0 0 0.000 2.000 2.324 2.000 2.459 2.000 204010 3 False 6 7.200 3 13.898 1 204011
2 3 0 FI 502.300 0.000 0 6 418.700 48.300 418.600 -48.400 502.300 -96.700 586.100 -48.300 586.100 48.300 502.300 96.700 418.700 48.300 0 0 0.000 2.000 2.878 3.000 3.284 3.000 203000 0 False 6 7.200 3 0.000 1 203001
2 9 5 FO 1088.400 725.000 4 6 1004.700 773.400 1004.700 676.700 1088.400 628.400 1172.100 676.700 1172.100 773.400 1088.400 821.700 1004.700 773.400 0 0 0.000 2.000 0.656 1.000 0.656 1.000 209050 7 False 3 3.600 4 33.668 0 209050
2 8 4 FM 1004.600 580.000 0 6 920.900 628.300 920.900 531.700 1004.700 483.300 1088.300 531.700 1088.400 628.400 1004.700 676.700 920.900 628.300 0 0 0.000 2.000 0.770 1.000 0.753 1.000 208040 7 True 3 3.600 4 30.000 0 208040
2 7 3 FM 920.900 435.000 4 6 837.200 483.300 837.200 386.700 921.000 338.400 1004.600 386.700 1004.700 483.300 920.900 531.700 837.200 483.300 0 0 0.000 2.000 0.911 1.000 0.886 1.000 207030 7 False 3 3.600 4 25.284 0 207030
2 6 2 FM 837.200 290.000 3 6 753.500 338.400 753.500 241.600 837.200 193.300 920.900 241.700 921.000 338.400 837.200 386.700 753.500 338.400 0 0 0.000 2.000 1.125 1.000 1.105 1.000 206020 5 False 3 3.600 3 19.106 0 206020
2 5 1 FI 753.500 145.000 0 6 669.800 193.300 669.800 96.700 753.500 48.300 837.200 96.700 837.200 193.300 753.500 241.600 669.800 193.300 0 0 0.000 2.000 1.789 2.000 1.772 2.000 205010 3 True 6 7.200 3 10.893 1 205011
2 4 0 FI 669.800 -0.000 0 6 586.100 48.300 586.100 -48.300 669.800 -96.700 753.500 -48.300 753.500 48.300 669.800 96.700 586.100 48.300 0 0 0.000 2.000 2.005 2.000 2.128 2.000 204000 0 True 6 7.200 3 -0.000 1 204001
2 9 4 FO 1172.100 580.000 3 6 1088.400 628.400 1088.300 531.700 1172.100 483.300 1255.800 531.700 1255.800 628.400 1172.100 676.700 1088.400 628.400 0 0 0.000 2.000 0.663 1.000 0.663 1.000 209040 7 False 3 3.600 4 26.328 0 209040
2 8 3 FM 1088.400 435.000 0 6 1004.700 483.300 1004.600 386.700 1088.400 338.300 1172.100 386.700 1172.100 483.300 1088.300 531.700 1004.700 483.300 0 0 0.000 2.000 0.760 1.000 0.744 1.000 208030 7 False 3 3.600 3 21.785 0 208030
2 7 2 FM 1004.600 290.000 3 6 921.000 338.400 920.900 241.700 1004.700 193.400 1088.400 241.700 1088.400 338.300 1004.600 386.700 921.000 338.400 0 0 0.000 2.000 0.875 1.000 0.850 1.000 207020 5 False 3 3.600 3 16.102 0 207020
2 6 1 FM 920.900 145.000 3 6 837.200 193.300 837.200 96.700 920.900 48.300 1004.600 96.600 1004.700 193.400 920.900 241.700 837.200 193.300 0 0 0.000 2.000 1.037 1.000 1.016 1.000 206010 2 False 3 3.600 3 8.948 0 206010
2 5 0 FM 837.200 -0.000 3 6 753.500 48.300 753.500 -48.300 837.200 -96.700 920.900 -48.300 920.900 48.300 837.200 96.700 753.500 48.300 0 0 0.000 2.000 1.232 1.000 1.212 1.000 205000 1 False 3 3.600 3 -0.000 0 205000
2 8 2 FM 1172.100 290.000 3 6 1088.400 338.300 1088.400 241.700 1172.100 193.400 1255.800 241.700 1255.800 338.300 1172.100 386.700 1088.400 338.300 0 0 0.000 2.000 0.701 1.000 0.692 1.000 208020 5 True 3 3.600 3 13.897 0 208020
2 7 1 FM 1088.400 145.000 3 6 1004.700 193.400 1004.600 96.600 1088.400 48.300 1172.100 96.700 1172.100 193.400 1088.400 241.700 1004.700 193.400 0 0 0.000 2.000 0.829 1.000 0.806 1.000 207010 2 True 3 3.600 3 7.588 0 207010
2 6 0 FM 1004.600 -0.000 0 6 920.900 48.300 920.900 -48.300 1004.700 -96.700 1088.300 -48.300 1088.400 48.300 1004.600 96.600 920.900 48.300 0 0 0.000 2.000 0.921 1.000 0.897 1.000 206000 1 False 3 3.600 3 -0.000 0 206000
2 8 1 FO 1255.800 145.000 3 6 1172.100 193.400 1172.100 96.700 1255.800 48.400 1339.500 96.700 1339.500 193.300 1255.800 241.700 1172.100 193.400 0 0 0.000 2.000 0.649 1.000 0.644 1.000 208010 2 False 3 3.600 3 6.586 0 208010
2 7 0 FM 1172.100 -0.000 3 6 1088.400 48.300 1088.300 -48.300 1172.100 -96.700 1255.800 -48.400 1255.800 48.400 1172.100 96.700 1088.400 48.300 0 0 0.000 2.000 0.757 1.000 0.742 1.000 207000 1 True 3 3.600 3 -0.000 0 207000
2 2 1 dIe 251.200 145.000 6 5 251.200 241.700 226.600 227.500 310.300 82.500 334.900 96.700 334.900 193.300 251.200 241.700 0.000 0.000 0 0 0.000 0.000 2.743 3.000 2.743 3.000 202010 11 False 3 3.600 6 29.995 1 202011
2 2 0 gIe 334.900 -0.000 6 6 334.900 96.700 310.300 82.500 310.300 -82.500 334.900 -96.700 418.600 -48.300 418.600 48.300 334.900 96.700 0 0 0.000 0.000 4.404 4.000 4.404 4.000 202000 0 False 6 7.200 6 -0.000 1 202001
2 9 8 aOe 837.200 1160.100 4 4 920.900 1111.700 753.400 1208.400 753.500 1111.700 837.200 1063.400 920.900 1111.700 0.000 0.000 0.000 0.000 0 0 0.000 0.000 0.381 1.000 0.381 1.000 209080 10 False 3 3.600 4 54.183 0 209080
