plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd hash MB isEngine nROCs power mrot phi HDorLD hash_hdld dataPp0 trigPp0 dataPp1 trigPp1
1 6 2 FM 837.200 290.000 0 6 837.200 193.300 920.900 241.700 920.900 338.400 837.200 386.700 753.500 338.400 753.500 241.700 837.200 193.300 0 0 2.787 3.000 1.070 1.000 1.055 1.000 106020 6 False 3 3.600 0 19.106 0 106020 1000 101000 -55 -33
1 6 3 FM 753.500 435.000 1 6 753.500 338.400 837.200 386.700 837.200 483.400 753.500 531.700 669.800 483.400 669.800 386.700 753.500 338.400 0 1 2.862 3.000 1.105 2.000 1.088 1.000 106030 9 False 3 3.600 1 29.998 0 106030 1010 101010 -55 -33
1 6 4 FM 669.800 580.000 1 6 669.800 483.400 753.500 531.700 753.500 628.400 669.800 676.700 586.000 628.400 586.000 531.700 669.800 483.400 0 1 2.780 3.000 1.072 1.000 1.054 1.000 106040 10 False 3 3.600 1 40.890 0 106040 1010 101010 -55 -33
1 6 5 FM 586.000 725.000 1 6 586.000 628.400 669.800 676.700 669.800 773.400 586.000 821.700 502.300 773.400 502.300 676.700 586.000 628.400 0 1 2.595 3.000 0.990 1.000 0.973 1.000 106050 11 True 3 3.600 1 51.052 0 106050 1010 101010 -55 -33
1 6 6 FM 502.300 870.009 1 6 586.045 821.659 586.029 918.432 502.371 966.732 418.555 918.359 418.621 821.673 502.279 773.373 586.045 821.659 1 0 2.248 3.000 0.884 1.000 0.860 1.000 106060 101 True 3 3.600 0 60.000 0 106060 1020 101020 -55 -33
1 6 7 FM 418.626 1015.082 1 6 502.371 966.732 502.305 1063.418 418.647 1111.718 334.882 1063.432 334.897 966.659 418.555 918.359 502.371 966.732 1 0 2.006 3.000 0.797 1.000 0.775 1.000 106070 103 True 3 3.600 0 67.588 0 106070 1020 101020 -55 -33
1 6 8 FM 334.903 1160.068 1 6 418.647 1111.718 418.582 1208.405 334.837 1256.755 251.158 1208.418 251.137 1111.782 334.882 1063.432 418.647 1111.718 1 0 1.833 2.000 0.678 1.000 0.665 1.000 106080 106 False 3 3.600 0 73.897 0 106080 1020 101020 -55 -33
1 6 9 FO 251.179 1305.055 1 6 334.837 1256.755 334.858 1353.391 251.113 1401.741 167.434 1353.405 167.413 1256.768 251.158 1208.418 334.837 1256.755 1 0 1.659 2.000 0.598 1.000 0.593 1.000 106090 107 False 3 3.600 0 79.106 0 106090 1021 101021 -55 -33
1 6 10 bOe 167.455 1450.041 2 5 251.134 1498.377 83.711 1498.391 83.690 1401.755 167.434 1353.405 251.113 1401.741 251.134 1498.377 0.000 0.000 1 0 1.187 2.000 0.445 1.000 0.445 1.000 106100 108 False 3 3.600 1 83.412 0 106100 1021 101021 -55 -33
1 7 0 FM 1172.100 0.000 0 6 1172.100 -96.700 1255.800 -48.300 1255.800 48.300 1172.100 96.700 1088.400 48.300 1088.400 -48.300 1172.100 -96.700 0 0 1.838 2.000 0.736 1.000 0.719 1.000 107000 1 False 3 3.600 0 0.000 0 107000 1000 101000 -55 -33
1 7 1 FM 1088.400 145.000 0 6 1088.400 48.300 1172.100 96.700 1172.100 193.300 1088.400 241.700 1004.600 193.300 1004.600 96.700 1088.400 48.300 0 0 2.006 3.000 0.797 1.000 0.775 1.000 107010 3 True 3 3.600 0 7.588 0 107010 1000 101000 -55 -33
1 7 2 FM 1004.600 290.000 0 6 1004.600 193.300 1088.400 241.700 1088.400 338.400 1004.600 386.700 920.900 338.400 920.900 241.700 1004.600 193.300 0 0 2.126 3.000 0.838 1.000 0.814 1.000 107020 6 True 3 3.600 0 16.102 0 107020 1000 101000 -55 -33
1 7 3 FM 920.900 435.000 0 6 920.900 338.400 1004.600 386.700 1004.600 483.400 920.900 531.700 837.200 483.400 837.200 386.700 920.900 338.400 0 0 2.229 3.000 0.868 1.000 0.847 1.000 107030 7 False 3 3.600 0 25.284 0 107030 1001 101001 -55 -33
1 7 4 FM 837.200 580.000 1 6 837.200 483.400 920.900 531.700 920.900 628.400 837.200 676.700 753.500 628.400 753.500 531.700 837.200 483.400 0 1 2.211 3.000 0.868 1.000 0.845 1.000 107040 9 True 3 3.600 1 34.714 0 107040 1010 101010 -55 -33
1 7 5 FM 753.500 725.000 1 6 753.500 628.400 837.200 676.700 837.200 773.400 753.500 821.700 669.800 773.400 669.800 676.700 753.500 628.400 0 1 2.131 3.000 0.840 1.000 0.817 1.000 107050 10 True 3 3.600 1 43.896 0 107050 1010 101010 -55 -33
1 7 6 FM 669.800 870.000 1 6 669.800 773.400 753.500 821.700 753.500 918.400 669.800 966.700 586.000 918.400 586.000 821.700 669.800 773.400 0 1 2.001 3.000 0.795 1.000 0.773 1.000 107060 11 False 3 3.600 1 52.408 0 107060 1010 101010 -55 -33
1 7 7 FM 586.050 1015.068 1 6 669.795 966.718 669.729 1063.405 586.071 1111.705 502.305 1063.418 502.371 966.732 586.029 918.432 669.795 966.718 1 0 1.838 2.000 0.736 1.000 0.719 1.000 107070 101 False 3 3.600 0 60.000 0 107070 1020 101020 -55 -33
1 7 8 FO 502.326 1160.055 1 6 586.071 1111.705 586.005 1208.391 502.347 1256.691 418.582 1208.405 418.647 1111.718 502.305 1063.418 586.071 1111.705 1 0 1.774 2.000 0.647 1.000 0.637 1.000 107080 103 False 3 3.600 0 66.586 0 107080 1020 101020 -55 -33
1 7 9 FO 418.603 1305.041 1 6 502.347 1256.691 502.282 1353.377 418.537 1401.727 334.858 1353.391 334.837 1256.755 418.582 1208.405 502.347 1256.691 1 0 1.811 2.000 0.617 1.000 0.617 1.000 107090 106 False 3 3.600 0 72.216 0 107090 1020 101020 -55 -33
1 7 10 aOe 334.879 1450.027 1 4 418.537 1401.727 251.134 1498.377 251.113 1401.741 334.858 1353.391 418.537 1401.727 0.000 0.000 0.000 0.000 1 0 0.813 1.000 0.323 1.000 0.323 1.000 107100 107 False 3 3.600 0 76.996 0 107100 1021 101021 -55 -33
1 8 0 FO 1339.500 0.000 0 6 1339.500 -96.700 1423.200 -48.300 1423.200 48.300 1339.500 96.700 1255.800 48.300 1255.800 -48.300 1339.500 -96.700 0 0 1.902 2.000 0.639 1.000 0.639 1.000 108000 1 False 3 3.600 0 0.000 0 108000 1000 101000 -55 -33
1 8 1 FO 1255.800 145.000 0 6 1255.800 48.300 1339.500 96.700 1339.500 193.300 1255.800 241.700 1172.100 193.300 1172.100 96.700 1255.800 48.300 0 0 1.774 2.000 0.647 1.000 0.637 1.000 108010 3 False 3 3.600 0 6.586 0 108010 1000 101000 -55 -33
1 8 2 FM 1172.100 290.000 0 6 1172.100 193.300 1255.800 241.700 1255.800 338.400 1172.100 386.700 1088.400 338.400 1088.400 241.700 1172.100 193.300 0 0 1.833 2.000 0.678 1.000 0.665 1.000 108020 6 False 3 3.600 0 13.897 0 108020 1000 101000 -55 -33
1 8 3 FM 1088.400 435.000 0 6 1088.400 338.400 1172.100 386.700 1172.100 483.400 1088.400 531.700 1004.600 483.400 1004.600 386.700 1088.400 338.400 0 0 1.837 2.000 0.744 1.000 0.724 1.000 108030 7 True 3 3.600 0 21.785 0 108030 1001 101001 -55 -33
1 8 4 FM 1004.600 580.000 0 6 1004.600 483.400 1088.400 531.700 1088.400 628.400 1004.600 676.700 920.900 628.400 920.900 531.700 1004.600 483.400 0 0 1.858 2.000 0.750 1.000 0.730 1.000 108040 8 True 3 3.600 0 30.000 0 108040 1001 101001 -55 -33
1 8 5 FM 920.900 725.000 1 6 920.900 628.400 1004.600 676.700 1004.600 773.400 920.900 821.700 837.200 773.400 837.200 676.700 920.900 628.400 0 1 1.865 2.000 0.743 1.000 0.724 1.000 108050 9 False 3 3.600 1 38.212 0 108050 1010 101010 -55 -33
1 8 6 FM 837.200 870.000 1 6 837.200 773.400 920.900 821.700 920.900 918.400 837.200 966.700 753.500 918.400 753.500 821.700 837.200 773.400 0 1 1.853 2.000 0.678 1.000 0.666 1.000 108060 10 False 3 3.600 1 46.101 0 108060 1010 101010 -55 -33
1 8 7 FO 753.500 1015.100 1 6 753.500 918.400 837.200 966.700 837.200 1063.400 753.500 1111.700 669.800 1063.400 669.800 966.700 753.500 918.400 0 1 1.782 2.000 0.642 1.000 0.633 1.000 108070 11 False 3 3.600 1 53.414 0 108070 1010 101010 -55 -33
1 8 8 FO 669.750 1160.041 1 6 753.495 1111.691 753.429 1208.377 669.771 1256.677 586.005 1208.391 586.071 1111.705 669.729 1063.405 753.495 1111.691 1 0 1.902 2.000 0.639 1.000 0.639 1.000 108080 101 False 3 3.600 0 60.000 0 108080 1020 101020 -55 -33
